input;category
Ela deve receber mais uma dose de uma das vacinas?;covid
Existe risco se uma pessoa tomar vacinas diferentes?;covid
Qual o tempo de imunidade que as vacinas aplicadas no Brasil (Astrazeneca/Oxford e Sinovac/Butantan) oferecem?;covid
O que são as novas variantes do SARS-COV2?;covid
Posso morrer de covid?;covid
O que faz uma variante ser mais agressiva que outras?;covid
Quais as variantes de atenção/precupação já foram identificadas no Brasil, até o momento?;covid
A variante que vem causando infecções mais agressivas na África do Sul já está circulando no Brasil?;covid
Essas variantes são responsáveis pelo aumento de casos e internações no país?;covid
Como é feita a identificação dessas variantes?;covid
Todos os casos suspeitos de Covid-19 devem ter sequenciamento genético?;covid
Quando haverá atualização dos casos de variantes que estão sendo acompanhados pelo Ministério da Saúde?;covid
As variantes encontradas no Brasil podem afetar a eficácia das vacinas?;covid
O que o Ministério da Saúde define como caso de reinfecção?;covid
Como é feito o monitoramento dos casos de reinfecção?;covid
O Ministério da Saúde está em contato com os produtores Fiocruz e Butantan para saber se há estudos sendo realizados que apontem se as vacinas aprovadas no Brasil são eficazes também contra as variantes do Reino Unido e de Manaus que já estão circulando no País?;covid
Posso tomar vacina da gripe junto com a de Covid-19?;covid
Ter resultado Negativo no teste de anticorpo realizado para a pesquisa significa que eu não estou com COVID-19?;covid
Já tive covid-19 mesmo assim preciso participar da pesquisa?;covid
Já fui vacinado contra a covid-19 mesmo assim preciso participar da pesquisa?;covid
Por que é preciso esperar entre uma dose e outra?;covid
Mesmo quem já teve Covid-19 precisa se vacinar?;covid
Quem não pode tomar a vacina?;covid
É normal ter alguma reação após tomar a vacina?;covid
Mesmo após ter tomado as doses, preciso usar a máscara e evitar aglomerações?;covid
Quais comorbidades estão sendo vacinadas primeiro e por que?;covid
A vacinação é segura para a população quilombola?;covid
O que é tuberculose?;tuberculose
A tuberculose é uma doença infecciosa e transmissível, causada pela bactéria Mycobacterium tuberculosis, também conhecida como bacilo de Koch;tuberculose
Doença causada pelo bacilo de Koch;tuberculose
A forma extrapulmonar, que afeta outros órgãos que não o pulmão, ocorre mais frequentemente em pessoas vivendo com HIV, especialmente aquelas com comprometimento imunológico.;tuberculose
Apesar de ser uma enfermidade antiga, a tuberculose continua sendo um importante problema de saúde pública;tuberculose
No mundo, a cada ano, cerca de 10 milhões de pessoas adoecem por tuberculose.;tuberculose
No Brasil são notificados aproximadamente 70 mil casos novos e ocorrem cerca de 4,5 mil mortes em decorrência da tuberculose.;tuberculose
Como a tuberculose é transmitida? ;tuberculose
A transmissão da tuberculose acontece por via respiratória;tuberculose
uma pessoa com tuberculose pulmonar e/ou laríngea ativa, sem tratamento, pode infectar, em média, de 10 a 15 pessoas.;tuberculose
A tuberculose NÃO se transmite por objetos compartilhados.;tuberculose
Bacilos que se depositam em roupas, lençóis, copos e talheres dificilmente se dispersam em aerossóis e, por isso, não têm papel importante na transmissão da doença.;tuberculose
O bacilo é sensível à luz solar e a circulação de ar possibilita a dispersão das partículas infectantes.;tuberculose
Quais são os sintomas da tuberculose?;tuberculose
O principal sintoma da tuberculose pulmonar é a tosse. Essa tosse pode ser seca ou produtiva (com catarro).;tuberculose
 Recomenda-se que toda pessoa com sintomas respiratórios, ou seja, que apresente tosse por três semanas ou mais, seja investigada para tuberculose.;tuberculose
Caso a pessoa apresente sintomas de tuberculose, é fundamental procurar a unidade de saúde mais próxima da residência para avaliação e realização de exames;tuberculose
Se o resultado for positivo para tuberculose, deve-se iniciar o tratamento o mais rápido possível e segui-lo até o final.;tuberculose
Como é feito o diagnóstico da tuberculose?;tuberculose
No Brasil, o diagnóstico da TB é realizado conforme preconizado no Manual de Recomendações Para o Controle da Tuberculose no Brasil, sendo subdividido em diagnóstico clínico, diferencial, bacteriológico, imagem, histopatológico e por outros testes diagnósticos.;tuberculose
O diagnóstico laboratorial da Tuberculose é fundamental tanto para a detecção de casos novos quanto para o controle de tratamento.;tuberculose
Para o diagnóstico laboratorial da tuberculose são utilizados os seguintes exames;tuberculose
Teste rápido molecular para tuberculose (TRM-TB) ou baciloscopia;tuberculose
Teste de Sensibilidade aos fármacos ;tuberculose
realização da radiografia do tórax é indicada como um método complementar para esse diagnóstico;tuberculose
Como é o tratamento da tuberculose?;tuberculose
O tratamento da tuberculose dura no mínimo seis meses, é gratuito e está disponível no Sistema Único de Saúde (SUS).;tuberculose
rifampicina, isoniazida, pirazinamida e etambutol;tuberculose
A tuberculose tem cura quando o tratamento é feito de forma adequada, até o final;tuberculose
A vacina BCG (bacilo Calmette-Guérin), ofertada no Sistema Único de Saúde (SUS), protege a criança das formas mais graves da doença;tuberculose
A ILTB ocorre quando uma pessoa se encontra infectada pelo Mycobacterium tuberculosis, sem manifestação da doença ativa;tuberculose
contatos domiciliares de pessoas diagnosticadas com TB;tuberculose
Conheça mais sobre o Protocolo de vigilância da infecção latente pelo Mycobacterium tuberculosis no Brasil ;tuberculose
orientações gerais para minimizar o risco de transmissão da tuberculose no domicílio e em ambientes públicos;tuberculose
populações e os seus respectivos riscos de adoecimento em comparação com a população em geral.;tuberculose
populações mais vulneráveis: privados de liberdade, indígenas, pessoas que vivendo com HIV, pessoas em situação de rua e profissionais de saúde;tuberculose
radiografia de tórax sugestiva para tuberculose seja avaliada pela equipe de saúde;tuberculose
coleta de escarro para baciloscopia ou TRM-TB, cultura e teste de sensibilidade;tuberculose
Plano Nacional pelo Fim da Tuberculose como Problema de Saúde Pública;tuberculose
Situação Epidemiológica da tuberculose;tuberculose
O Selo Turismo Responsável é um programa do Ministério do Turismo;seloturismo
estabelece boas práticas de higienização para cada segmento do setor de turismo;seloturismo
O selo é um incentivo para que os consumidores se sintam seguros ao viajar;seloturismo
as empresas e guias de turismo precisam estar devidamente inscritos no Cadastur;seloturismo
Prestadores de Serviços Turísticos com situação regular no sistema Cadastur;seloturismo
lista de prestadores de serviços turísticos com situação regular;seloturismo
Após adesão ao selo, a tabela ativará a opção de emissão do Selo;seloturismo
Para baixar as peças publicitárias do Selo, clique no ícone Baixar Peças;seloturismo
Informações sobre as condições de acessibilidade, sinalização, limpeza e conforto dos locais de atendimento;seloturismo
Em 2020, o Ministério do Turismo lançou o selo;seloturismo
padronizações nos protocolos higiênicos em cada segmento turístico;seloturismo
O turismo responsável contempla uma consciência ambiental maior;seloturismo
Ele incentiva a preservação do meio ambiente e a sustentabilidade, e é uma tendência que vem crescendo;seloturismo
Diferentemente do modelo tradicional de turismo, que explora o destino destruindo-o gradativamente;seloturismo
na construção e na convivência, por meio do conhecimento e da curiosidade;seloturismo
Esta forma de conhecer outros lugares tem objetivos que sustentam o seu conceito;seloturismo
Menos impactos sociais, econômicos e ambientais negativos;seloturismo
Tudo o que puder ser feito para minimizar os impactos negativos do turismo;seloturismo
Isso inclui diminuir a geração de resíduos recicláveis e orgânicos;seloturismo
Benefícios econômicos para a população local;seloturismo
Uma das maneiras de exercer o turismo responsável é priorizando serviços oferecidos pela própria comunidade;seloturismo
Essa postura vai além de frequentar restaurantes e bares da região;seloturismo
Contratar guias locais para os passeios, prestigiar o artesanato local e priorizar hospedagens de habitantes locais;seloturismo
Conservação do patrimônio natural e cultural;seloturismo
Adotar o turismo responsável como filosofia de vida contribuiu para a conservação local;seloturismo
compreender o modo de vida local, respeitando seus hábitos e sua cultura;seloturismo
prestigie manifestações culturais e abrace a diversidade local;seloturismo
Além de priorizar hospedagens locais e que sejam próximas aos destinos desejados;seloturismo
A atitude ajuda a reduzir a emissão de poluentes, além de tornar a viagem mais econômica;seloturismo
Redução no gasto de energia e água;seloturismo
Engana-se quem pensa que o turismo responsável apenas consiste em diminuir a geração de lixo e poluentes;seloturismo
Esse cuidado ajuda a economizar água e energia, colaborando com a sustentabilidade;seloturismo
Valorização do destino e das pessoas que vivem no local;seloturismo
À princípio, pode parecer que o turismo responsável e a sustentabilidade apenas se aplicam a destinos de natureza;seloturismo
Respeitar o horário planejado para evitar incidentes, bem como evitar improvisos que afetem ao desenvolvimento e itinerário da visita;seloturismo
Atender às diretrizes sanitárias no caso de utilização de veículos para transporte de turistas;seloturismo
O guia de turismo deverá informar a seus clientes as medidas de prevenção e higiênicas aplicáveis;seloturismo
Buscar informar-se sobre o local de destino antes de viajar;seloturismo
Preparar-se para ser flexível durante sua viagem, pois restrições e políticas de saúde podem mudar antes e durante sua viagem;seloturismo
O turista também é responsável pelo controle da epidemia;seloturismo
Para a certificação das instalações a respeito do cumprimento dos protocolos poderão ser realizadas auditorias;seloturismo
Vistoriar, com equipe de liderança, as áreas comuns de público e funcionários, bem como filas das atrações, com o objetivo de garantir o distanciamento físico;seloturismo
Implementar sinalizações indicativas nas filas, bem como marcação no piso, orientando e garantindo o distanciamento físico;seloturismo
Para os setores de Meios de Hospedagem as premissas recomendadas foram sistematizadas por setores como: Recepção, Governança, Alimentos e Bebidas e Eventos e Lazer;seloturismo
Ao final da estada do hóspede, deverá ser realizada limpeza e desinfecção completa da unidade habitacional;seloturismo
É proibido pernoitar na embarcação;seloturismo
Fornecer Equipamentos de Proteção Individual (EPI) para colaboradores;seloturismo
orientar o consumidor a dar preferência aos estabelecimentos/equipamentos que estejam aplicando protocolos de biossegurança;seloturismo
